prefix,country
A2,"Botswana"
A3,"Tonga"
A40,"Oman"
A5,"Bhutan"
A6,"United Arab Emirates"
A7,"Qatar"
A9C,"Bahrain"
AP,"Pakistan"
B,"China / Taiwan"
C,"Canada"
CC,"Chile"
CN,"Morocco"
CP,"Bolivia"
CS,"Portugal"
CU,"Cuba"
CX,"Uruguay"
D,"Germany"
D2,"Angola"
D4,"Cape Verde"
D6,"Comoros"
DQ,"Fiji"
E3,"Eritrea"
E5,"Cook Islands"
E7,"Bosnia and Herzegovina"
EC,"Spain"
EI,"Ireland"
EK,"Armenia"
EP,"Iran"
ER,"Moldova"
ES,"Estonia"
ET,"Ethiopia"
EW,"Belarus"
EX,"Kyrgyzstan"
EY,"Tajikistan"
EZ,"Turkmenistan"
F,"France"
G,"United Kingdom"
H4,"Solomon Islands"
HA,"Hungary"
HB,"Switzerland / Liechtenstein"
HC,"Ecuador"
HH,"Haiti"
HI,"Dominican Republic"
HK,"Colombia"
HL,"South Korea"
HP,"Panama"
HR,"Honduras"
HS,"Thailand"
HZ,"Saudi Arabia"
I,"Italy"
J2,"Djibouti"
J5,"Guinea-Bissau"
JA,"Japan"
JU,"Mongolia"
JY,"Jordan"
LN,"Norway"
LV,"Argentina"
LX,"Luxembourg"
LY,"Lithuania"
LZ,"Bulgaria"
N,"United States"
OB,"Peru"
OD,"Lebanon"
OE,"Austria"
OH,"Finland"
OK,"Czech Republic"
OM,"Slovakia"
OO,"Belgium"
OY,"Denmark"
P,"North Korea"
PH,"Netherlands"
PJ,"Curacao / Sint Maarten"
PK,"Indonesia"
PP,"Brazil"
PZ,"Suriname"
RA,"Russia"
RDPL,"Laos"
RP,"Philippines"
S2,"Bangladesh"
S5,"Slovenia"
S7,"Seychelles"
S9,"Sao Tome and Principe"
SE,"Sweden"
SP,"Poland"
ST,"Sudan"
SU,"Egypt"
SX,"Greece"
T7,"San Marino"
TC,"Turkey"
TF,"Iceland"
TG,"Guatemala"
TI,"Costa Rica"
TJ,"Cameroon"
TN,"Republic of the Congo"
TR,"Gabon"
TS,"Tunisia"
TT,"Chad"
TU,"Cote d'Ivoire"
TY,"Benin"
TZ,"Mali"
UK,"Uzbekistan"
UN,"Kazakhstan"
UR,"Ukraine"
V2,"Antigua and Barbuda"
V3,"Belize"
V4,"Saint Kitts and Nevis"
V5,"Namibia"
V7,"Marshall Islands"
V8,"Brunei"
VH,"Australia"
VN,"Vietnam"
VP-B,"Bermuda"
VT,"India"
XA,"Mexico"
XT,"Burkina Faso"
XU,"Cambodia"
XY,"Myanmar"
YA,"Afghanistan"
YI,"Iraq"
YJ,"Vanuatu"
YK,"Syria"
YL,"Latvia"
YN,"Nicaragua"
YR,"Romania"
YS,"El Salvador"
YU,"Serbia"
YV,"Venezuela"
Z,"Zimbabwe"
Z3,"North Macedonia"
ZA,"Albania"
ZK,"New Zealand"
ZP,"Paraguay"
ZS,"South Africa"
3A,"Monaco"
3B,"Mauritius"
3C,"Equatorial Guinea"
3D,"Eswatini"
3X,"Guinea"
4K,"Azerbaijan"
4L,"Georgia"
4O,"Montenegro"
4R,"Sri Lanka"
4X,"Israel"
5A,"Libya"
5B,"Cyprus"
5H,"Tanzania"
5N,"Nigeria"
5R,"Madagascar"
5T,"Mauritania"
5U,"Niger"
5V,"Togo"
5W,"Samoa"
5X,"Uganda"
5Y,"Kenya"
6V,"Senegal"
6Y,"Jamaica"
7O,"Yemen"
7P,"Lesotho"
7Q,"Malawi"
7T,"Algeria"
8P,"Barbados"
8Q,"Maldives"
8R,"Guyana"
9A,"Croatia"
9G,"Ghana"
9H,"Malta"
9J,"Zambia"
9K,"Kuwait"
9L,"Sierra Leone"
9M,"Malaysia"
9N,"Nepal"
9Q,"DR Congo"
9U,"Burundi"
9V,"Singapore"
9XR,"Rwanda"
9Y,"Trinidad and Tobago"
